DATE,SALES/REVENUE,FACEBOOK,GOOGLE,INSTAGRAM,E-MAIL,NEWSPAPER,BANNERS & POSTERS,TV MEDIA,SMS,TELEPHONE MARKETING,ROADSHOWS/EVENTS,OTHERS
03/09/2018,156711,2154,2154,2154,2154,2154,2154,97,2154,2154,2154,2154
10/09/2018,154322,2154,2154,2154,2154,2154,2154,98,2154,2154,2154,2154
17/09/2018,156078,2154,2154,2154,2154,2154,2154,99,2154,2154,2154,2154
24/09/2018,159909,2154,2154,2154,2154,2154,2154,100,2154,2154,2154,2154
01/10/2018,160065,2154,2154,2154,2154,2154,2154,101,2154,2154,2154,2154
08/10/2018,157026,2154,2154,2154,2154,2154,2154,102,2154,2154,2154,2154
15/10/2018,151825,2154,2154,2154,2154,2154,2154,103,2154,2154,2154,2154
22/10/2018,160893,2154,2154,2154,2154,2154,2154,104,2154,2154,2154,2154
29/10/2018,158993,2154,2154,2154,2154,2154,2154,105,2154,2154,2154,2154
05/11/2018,156672,2154,2154,2154,2154,2154,2154,106,2154,2154,2154,2154
